CandidateDonations2023Test_Id,UserName,LoginCode,CandidateName_First,CandidateName_Last,CandidateName_Prefix,Electorate,Party,TotalDonationsACD,TotalExpensesFG,TotalPartA,TotalPartACalculated,PartATotalsMatch,TotalPartB,TotalPartC,TotalPartDCalculated,PartCTotalsMatch,TotalPartD,TotalPartDCalculated2,PartDTotalsMatch,TotalPartFCandidateOnlyExpenses,TotalPartGSharedExpenses,TotalPartH,TotalPartHCalculated,PartHTotalsMatch,Entry_Status,Entry_DateCreated,Entry_DateSubmitted,Entry_DateUpdated
476,Bryce Edwards,d23,Janita,Andrews,,Whangārei,New Zealand Loyal,$0.00,"$1,123.83",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,080.00",$43.83,$0.00,$0.00,No,Submitted,22/05/2024 3:42 AM,22/05/2024 3:42 AM,22/05/2024 3:42 AM
475,Bryce Edwards,d23,Sarai,Tepou,,Coromandel,NZ Outdoors & Freedom Party,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,$0.00,$0.00,No,Submitted,21/05/2024 4:50 AM,21/05/2024 4:50 AM,21/05/2024 4:50 AM
474,Bryce Edwards,d23,Paris,Winiata,,Te Tai Hauāuru,Vision New Zealand,$0.00,$818.12,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$145.28,$672.84,$0.00,$0.00,No,Submitted,21/05/2024 4:45 AM,21/05/2024 4:45 AM,21/05/2024 4:45 AM
473,Bryce Edwards,d23,Caine,Warren,,Manurewa,Vision New Zealand,"$10,978.63","$11,506.48","$10,978.63","$17,280.29",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$7,564.97","$3,941.51",$0.00,$0.00,No,Submitted,21/05/2024 4:44 AM,21/05/2024 4:44 AM,21/05/2024 4:44 AM
472,Bryce Edwards,d23,Ata,Tuhakaraina,,Ikaroa-Rāwhiti,Vision New Zealand,$0.00,"$1,702.55",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$179.97,"$1,522.58",$0.00,$0.00,No,Submitted,21/05/2024 4:20 AM,21/05/2024 4:20 AM,21/05/2024 4:20 AM
471,Bryce Edwards,d23,Judith,Terrill,,Invercargill,Vision New Zealand,$0.00,"$1,241.44",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$993.15,$248.29,$0.00,$0.00,No,Submitted,21/05/2024 4:18 AM,21/05/2024 4:18 AM,21/05/2024 4:18 AM
470,Bryce Edwards,d23,Hannah,Tamaki,,Tāmaki Makaurau,Vision New Zealand,"$18,673.04","$16,805.74","$18,673.04","$18,673.04",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$16,805.74",$0.00,$0.00,No,Submitted,21/05/2024 4:12 AM,21/05/2024 4:12 AM,21/05/2024 4:12 AM
469,Bryce Edwards,d23,Vijay,Sudhamalla,,Port Waikato,Vision New Zealand,$0.00,"$2,160.76",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$2,160.76",$0.00,$0.00,No,Submitted,21/05/2024 4:04 AM,21/05/2024 4:04 AM,21/05/2024 4:04 AM
468,Bryce Edwards,d23,Bernadette,Soares,,Upper Harbour,Vision New Zealand,"$2,488.77","$2,432.73","$2,488.77","$2,488.77",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$2,432.73",$0.00,$0.00,No,Submitted,21/05/2024 4:03 AM,21/05/2024 4:03 AM,21/05/2024 4:03 AM
467,Bryce Edwards,d23,Leon,Samuels,,Tauranga,Vision New Zealand,"$4,062.25","$4,173.53","$4,062.25","$4,062.25",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$3,656.03",$517.50,$0.00,$0.00,No,Submitted,21/05/2024 4:00 AM,21/05/2024 4:00 AM,21/05/2024 4:00 AM
466,Bryce Edwards,d23,Heker,Robertson,,Remutaka,Vision New Zealand,$0.00,"$1,196.01",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$523.33,$672.68,$0.00,$0.00,No,Submitted,21/05/2024 3:56 AM,21/05/2024 3:56 AM,21/05/2024 3:56 AM
465,Bryce Edwards,d23,Merania,Roa,,Rongotai,Vision New Zealand,$0.00,$971.22,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$432.78,$538.44,$0.00,$0.00,No,Submitted,21/05/2024 3:54 AM,21/05/2024 3:54 AM,21/05/2024 3:54 AM
464,Bryce Edwards,d23,Max,Rangitutia,,Hutt South,Vision New Zealand,$0.00,"$1,014.07",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$145.28,$868.79,$0.00,$0.00,No,Submitted,21/05/2024 3:53 AM,21/05/2024 3:53 AM,21/05/2024 3:53 AM
463,Bryce Edwards,d23,Max,Rangitutia,,Hutt South,Vision New Zealand,$0.00,"$1,014.07",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$145.28,$868.79,$0.00,$0.00,No,Submitted,21/05/2024 3:48 AM,21/05/2024 3:48 AM,21/05/2024 3:48 AM
462,Bryce Edwards,d23,Daryl,Raison,,Taranaki-King Country,Vision New Zealand,$0.00,$672.68,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$672.68,$0.00,$0.00,No,Submitted,21/05/2024 3:46 AM,21/05/2024 3:46 AM,21/05/2024 3:46 AM
461,Bryce Edwards,d23,Leighton,Packer,,East Coast,Vision New Zealand,$0.00,"$2,105.63",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$2,105.63",$0.00,$0.00,$0.00,No,Submitted,21/05/2024 3:44 AM,21/05/2024 3:44 AM,21/05/2024 3:44 AM
460,Bryce Edwards,d23,Michael,Ngahuka,,Tukituki,Vision New Zealand,"$1,558.50","$2,981.73","$1,558.50","$1,558.50",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$756.25,"$2,225.48",$0.00,$0.00,No,Submitted,21/05/2024 3:43 AM,21/05/2024 3:43 AM,21/05/2024 3:43 AM
459,Bryce Edwards,d23,Karl,Mokaraka,,Panmure-Ōtāhuhu,Vision New Zealand,$0.00,"$2,593.77",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,223.50","$1,369.97",$0.00,$0.00,No,Submitted,21/05/2024 3:39 AM,21/05/2024 3:39 AM,21/05/2024 3:39 AM
458,Bryce Edwards,d23,Phineas,Mann,,New Lynn,Vision New Zealand,"$1,949.76","$2,260.89","$1,949.76","$1,949.76",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$689.89,"$1,571.00",$0.00,$0.00,No,Submitted,21/05/2024 3:38 AM,21/05/2024 3:38 AM,21/05/2024 3:38 AM
